,price,type,address,url,postcode,number_bedrooms,search_date
209,2383,1 bedroom apartment,Gloucester Square London E2,http://www.rightmove.co.uk/property-to-rent/property-59128022.html,E2,1,07/10/2016
210,1907,2 bedroom flat,Kay Street E2,http://www.rightmove.co.uk/property-to-rent/property-58905317.html,E2,2,07/10/2016
211,1907,2 bedroom flat,"Elizabeth Mews, E2",http://www.rightmove.co.uk/property-to-rent/property-58831541.html,E2,2,07/10/2016
212,1885,2 bedroom apartment,"Cambridge Heath Road, E2",http://www.rightmove.co.uk/property-to-rent/property-40949340.html,E2,2,07/10/2016
213,2210,1 bedroom flat,"Gloucester Square, Haggerston, E2",http://www.rightmove.co.uk/property-to-rent/property-61614860.html,E2,1,07/10/2016
214,2210,1 bedroom flat,"Gloucester Square, Haggerston, E2",http://www.rightmove.co.uk/property-to-rent/property-56357107.html,E2,1,07/10/2016
215,1993,1 bedroom flat,Sylvester Road E8.,http://www.rightmove.co.uk/property-to-rent/property-52690039.html,E8,1,07/10/2016
216,1863,1 bedroom property,"Arthaus Apartments, 205 Richmond Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-56577863.html,E8,1,07/10/2016
217,1621,2 bedroom flat,"Templecombe Road, Hackney, London",http://www.rightmove.co.uk/property-to-rent/property-55525655.html,,2,07/10/2016
218,1647,2 bedroom apartment,"Queensbridge Road, Dalston, London",http://www.rightmove.co.uk/property-to-rent/property-48568699.html,,2,07/10/2016
