,price,type,address,url,postcode,number_bedrooms,search_date
137,3294,4 bedroom maisonette,"Navarino Road, Hackney, E8",http://www.rightmove.co.uk/property-to-rent/property-56008702.html,E8,4,07/10/2016
138,1850,2 bedroom flat,"Queensbridge Road, London, Hackney, E2",http://www.rightmove.co.uk/property-to-rent/property-61765814.html,E2,2,07/10/2016
139,2600,3 bedroom flat,GROVE HOUSE-TUDOR ROAD,http://www.rightmove.co.uk/property-to-rent/property-61763801.html,,3,07/10/2016
140,2058,2 bedroom flat,Fortescue Avenue,http://www.rightmove.co.uk/property-to-rent/property-55982509.html,,2,07/10/2016
141,1950,1 bedroom flat,"King Edwards Road, London",http://www.rightmove.co.uk/property-to-rent/property-56287966.html,,1,07/10/2016
142,630,Studio flat,"WELL STREET, HACKNEY, LONDON, E9",http://www.rightmove.co.uk/property-to-rent/property-43934307.html,E9,0,07/10/2016
143,2600,3 bedroom flat,GROVE HOUSE-TUDOR ROAD,http://www.rightmove.co.uk/property-to-rent/property-61652660.html,,3,07/10/2016
144,2600,3 bedroom flat,GROVE HOUSE-TUDOR ROAD,http://www.rightmove.co.uk/property-to-rent/property-61653323.html,,3,07/10/2016
145,1950,2 bedroom flat,"King Edwards Road, Hackney, E9",http://www.rightmove.co.uk/property-to-rent/property-61614737.html,E9,2,07/10/2016
146,1625,1 bedroom apartment,"Elizabeth Mews, Kay Street, London, E2",http://www.rightmove.co.uk/property-to-rent/property-61542575.html,E2,1,07/10/2016
147,1495,1 bedroom apartment,"Richmond Road, London Fields, E8",http://www.rightmove.co.uk/property-to-rent/property-61534751.html,E8,1,07/10/2016
148,1907,2 bedroom flat,Lansdowne Drive E8,http://www.rightmove.co.uk/property-to-rent/property-37615882.html,E8,2,07/10/2016
149,1863,1 bedroom flat,"Broadway Market, London, E8",http://www.rightmove.co.uk/property-to-rent/property-43903920.html,E8,1,07/10/2016
150,2037,1 bedroom apartment,"Kay Street, London",http://www.rightmove.co.uk/property-to-rent/property-61474046.html,,1,07/10/2016
151,2037,2 bedroom flat,"Elizabeth Mews, London E2",http://www.rightmove.co.uk/property-to-rent/property-43970025.html,E2,2,07/10/2016
152,1690,1 bedroom flat,"Richmond Road, Dalston, London",http://www.rightmove.co.uk/property-to-rent/property-55793338.html,,1,07/10/2016
153,1495,1 bedroom apartment,"Queensbridge Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-61075424.html,E8,1,07/10/2016
154,1625,1 bedroom apartment,"Elizabeth Mews, Kay Street, Shoreditch, E2",http://www.rightmove.co.uk/property-to-rent/property-61441160.html,E2,1,07/10/2016
155,2037,2 bedroom flat,"Elizabeth Mews, Kay Street, London, E2",http://www.rightmove.co.uk/property-to-rent/property-43936962.html,E2,2,07/10/2016
156,2275,2 bedroom flat,"Grove House, Tudor Grove, Victoria Park, London,",http://www.rightmove.co.uk/property-to-rent/property-43929948.html,,2,07/10/2016
157,1603,1 bedroom apartment,"Kay Street, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-43881519.html,E2,1,07/10/2016
158,1473,1 bedroom flat,"Martello Street, London",http://www.rightmove.co.uk/property-to-rent/property-55665352.html,,1,07/10/2016
159,2600,2 bedroom flat,"Mentmore Terrace, London",http://www.rightmove.co.uk/property-to-rent/property-55709839.html,,2,07/10/2016
160,1547,1 bedroom flat,"Queensbridge Road, Shoreditch, London",http://www.rightmove.co.uk/property-to-rent/property-56690336.html,,1,07/10/2016
161,1863,2 bedroom flat,Florfield Passage Hackney,http://www.rightmove.co.uk/property-to-rent/property-50175352.html,,2,07/10/2016
162,1425,1 bedroom apartment,"Queensbridge Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-43678971.html,E8,1,07/10/2016
163,1625,1 bedroom flat,"Kay Street, Bethnal Green E2",http://www.rightmove.co.uk/property-to-rent/property-61250774.html,E2,1,07/10/2016
164,2037,2 bedroom flat,"Kay Street, Bethnal Green E2",http://www.rightmove.co.uk/property-to-rent/property-61250783.html,E2,2,07/10/2016
